Subj	Date	SoundStim	arousal1.RT	arousal1.RESP	valence1.RT	valence1.RESP
10370	20120918	 115.wav	 5719	 4	 12587	 6	
10370	20120918	 627.wav	 3419	 6	 2984	 5	
10370	20120918	 709.wav	 3129	 4	 5865	 7	
10370	20120918	 311.wav	 522	 3	 2816	 4	
10370	20120918	 262.wav	 7246	 8	 3564	 3	
10370	20120918	 132.wav	 4819	 6	 1766	 5	
10370	20120918	 353.wav	 15032	 4	 1763	 5	
10370	20120918	 415.wav	 2101	 6	 577	 5	
10370	20120918	 700.wav	 6101	 8	 3050	 5	
10370	20120918	 261.wav	 3311	 3	 2873	 8	
10370	20120918	 624.wav	 33304	 5	 906	 4	
10370	20120918	 360.wav	 2031	 3	 1463	 2	
10370	20120918	 373.wav	 9510	 4	 590	 2	
10370	20120918	 352.wav	 18671	 6	 1178	 5	
10370	20120918	 723.wav	 5027	 4	 4829	 7	
10370	20120918	 358.wav	 2745	 2	 1018	 8	
10370	20120918	 367.wav	 20952	 5	 429	 6	
10370	20120918	 717.wav	 609	 5	 428	 5	
10370	20120918	 275.wav	 1301	 2	 2259	 3	
10370	20120918	 728.wav	 2292	 6	 1129	 5	
10370	20120918	 705.wav	 2485	 5	 1361	 5	
10370	20120918	 422.wav	 2594	 4	 482	 6	
10370	20120918	 221.wav	 2055	 6	 1821	 7	
10370	20120918	 724.wav	 2780	 4	 1044	 9	
10370	20120918	 241.wav	 4660	 5	 1742	 8	
10370	20120918	 378.wav	 417	 5	 324	 8	
10370	20120918	 105.wav	 2571	 3	 2507	 7	
10370	20120918	 720.wav	 2561	 5	 315	 5	
10370	20120918	 110.wav	 1862	 6	 2228	 6	
10370	20120918	 377.wav	 11847	 5	 341	 6	
10370	20120918	 284.wav	 2039	 2	 2086	 9	
10370	20120918	 375.wav	 2719	 5	 562	 6	
10370	20120918	 722.wav	 1655	 4	 1958	 5	
10370	20120918	 376.wav	 1456	 6	 342	 5	
10370	20120918	 276.wav	 1489	 3	 2406	 9	
10370	20120918	 254.wav	 3651	 4	 3703	 3	
10370	20120918	 370.wav	 1414	 5	 280	 5	
10370	20120918	 701.wav	 1139	 6	 255	 5	
10370	20120918	 816.wav	 3109	 7	 2624	 3	
10370	20120918	 820.wav	 1207	 5	 261	 5	
10370	20120918	 420.wav	 567	 4	 3315	 6	
10370	20120918	 374.wav	 5634	 5	 1404	 5	
10370	20120918	 111.wav	 1325	 4	 873	 6	
10370	20120918	 817.wav	 4023	 5	 380	 4	
10370	20120918	 171.wav	 3666	 8	 1013	 3	
10370	20120918	 244.wav	 485	 5	 1653	 7	
10370	20120918	 802.wav	 784	 5	 380	 5	
10370	20120918	 708.wav	 1599	 3	 409	 9	
10370	20120918	 255.wav	 2720	 1	 1668	 9	
10370	20120918	 289.wav	 1327	 4	 476	 7	
10370	20120918	 712.wav	 2138	 4	 364	 6	
10370	20120918	 106.wav	 15388	 4	 296	 7	
10370	20120918	 714.wav	 305	 5	 97	 5	
10370	20120918	 252.wav	 390	 2	 250	 9	
10370	20120918	 602.wav	 479	 5	 583	 6	
10370	20120918	 322.wav	 1376	 6	 4834	 5	
10370	20120918	 366.wav	 1651	 5	 723	 6	
10370	20120918	 224.wav	 2190	 4	 318	 6	
10370	20120918	 226.wav	 1827	 4	 2619	 7	
10370	20120918	 116.wav	 4758	 5	 244	 6	
10370	20120918	 601.wav	 2005	 6	 469	 6	
10370	20120918	 815.wav	 2763	 5	 354	 9	
10370	20120918	 719.wav	 335	 3	 284	 7	
10370	20120918	 711.wav	 2801	 4	 513	 5	
10370	20120918	 698.wav	 2847	 4	 508	 8	
10370	20120918	 716.wav	 413	 5	 1119	 6	
10370	20120918	 626.wav	 5659	 5	 779	 6	
10370	20120918	 363.wav	 469	 4	 277	 5	
10370	20120918	 732.wav	 436	 6	 413	 5	
10370	20120918	 277.wav	 1820	 3	 317	 8	
10370	20120918	 368.wav	 338	 5	 384	 6	
10370	20120918	 260.wav	 2337	 4	 348	 8	
10370	20120918	 424.wav	 317	 2	 164	 8	
10370	20120918	 382.wav	 832	 4	 210	 8	
10370	20120918	 170.wav	 17566	 8	 12134	 3	
10370	20120918	 220.wav	 3293	 4	 9702	 9	
10370	20120918	 351.wav	 2723	 5	 405	 6	
10370	20120918	 296.wav	 1213	 4	 239	 8	
10370	20120918	 808.wav	 2264	 5	 294	 6	
10370	20120918	 365.wav	 10498	 5	 258	 5	
10370	20120918	 sarahordaz.wav	 2825	 9	 431	 1	
10370	20120918	 113.wav	 696	 2	 1935	 6	
10370	20120918	 713.wav	 7576	 5	 282	 8	
10370	20120918	 355.wav	 2018	 6	 858	 4	
10370	20120918	 502.wav	 10234	 6	 1628	 4	
10892	20120111	 374.wav	 764	 5	 1016	 5	
10892	20120111	 709.wav	 2943	 3	 2968	 7	
10892	20120111	 708.wav	 2370	 7	 2899	 5	
10892	20120111	 624.wav	 3438	 5	 2570	 6	
10892	20120111	 289.wav	 757	 5	 361	 5	
10892	20120111	 816.wav	 1844	 5	 2028	 3	
10892	20120111	 254.wav	 2338	 5	 2092	 8	
10892	20120111	 116.wav	 923	 5	 1577	 7	
10892	20120111	 377.wav	 628	 5	 1119	 5	
10892	20120111	 415.wav	 458	 5	 299	 5	
10892	20120111	 422.wav	 2843	 5	 502	 7	
10892	20120111	 352.wav	 1209	 3	 931	 3	
10892	20120111	 724.wav	 393	 5	 533	 5	
10892	20120111	 420.wav	 1596	 5	 1725	 7	
10892	20120111	 363.wav	 618	 5	 1252	 5	
10892	20120111	 373.wav	 466	 5	 442	 5	
10892	20120111	 322.wav	 419	 5	 325	 5	
10892	20120111	 375.wav	 596	 5	 2727	 6	
10892	20120111	 132.wav	 1240	 5	 519	 5	
10892	20120111	 252.wav	 423	 5	 2073	 8	
10892	20120111	 601.wav	 1574	 4	 424	 5	
10892	20120111	 261.wav	 1312	 5	 1765	 8	
10892	20120111	 698.wav	 1481	 7	 727	 5	
10892	20120111	 367.wav	 3243	 5	 879	 7	
10892	20120111	 712.wav	 904	 3	 950	 7	
10892	20120111	 224.wav	 307	 5	 307	 5	
10892	20120111	 723.wav	 492	 5	 491	 6	
10892	20120111	 713.wav	 1207	 5	 1384	 7	
10892	20120111	 820.wav	 606	 4	 328	 4	
10892	20120111	 378.wav	 300	 5	 539	 7	
10892	20120111	 284.wav	 1144	 5	 1056	 8	
10892	20120111	 815.wav	 1168	 3	 636	 5	
10892	20120111	 296.wav	 489	 5	 601	 8	
10892	20120111	 366.wav	 544	 5	 493	 7	
10892	20120111	 627.wav	 610	 5	 1308	 5	
10892	20120111	 700.wav	 353	 5	 365	 5	
10892	20120111	 365.wav	 358	 5	 386	 5	
10892	20120111	 732.wav	 1162	 5	 599	 6	
10892	20120111	 sarahordaz.wav	 301	 5	 1077	 6	
10892	20120111	 382.wav	 485	 5	 357	 5	
10892	20120111	 115.wav	 520	 5	 342	 5	
10892	20120111	 370.wav	 327	 5	 501	 5	
10892	20120111	 802.wav	 872	 4	 360	 6	
10892	20120111	 717.wav	 363	 5	 1745	 7	
10892	20120111	 376.wav	 1718	 4	 306	 5	
10892	20120111	 113.wav	 766	 5	 434	 4	
10892	20120111	 276.wav	 616	 5	 690	 9	
10892	20120111	 262.wav	 786	 5	 598	 5	
10892	20120111	 722.wav	 537	 5	 567	 5	
10892	20120111	 255.wav	 301	 5	 685	 5	
10892	20120111	 353.wav	 1493	 4	 4370	 5	
10892	20120111	 714.wav	 326	 5	 621	 5	
10892	20120111	 626.wav	 576	 5	 317	 5	
10892	20120111	 424.wav	 2209	 5	 1104	 7	
10892	20120111	 355.wav	 888	 5	 2718	 5	
10892	20120111	 277.wav	 1958	 5	 1248	 8	
10892	20120111	 275.wav	 1626	 5	 985	 4	
10892	20120111	 711.wav	 601	 5	 484	 8	
10892	20120111	 368.wav	 473	 5	 393	 5	
10892	20120111	 111.wav	 1253	 5	 653	 7	
10892	20120111	 360.wav	 564	 5	 473	 5	
10892	20120111	 728.wav	 350	 5	 532	 5	
10892	20120111	 171.wav	 639	 5	 304	 5	
10892	20120111	 719.wav	 579	 5	 920	 8	
10892	20120111	 720.wav	 3059	 5	 511	 5	
10892	20120111	 226.wav	 386	 5	 1101	 5	
10892	20120111	 110.wav	 294	 5	 304	 5	
10892	20120111	 241.wav	 741	 5	 458	 7	
10892	20120111	 716.wav	 537	 5	 415	 7	
10892	20120111	 502.wav	 295	 5	 327	 5	
10892	20120111	 705.wav	 434	 5	 604	 5	
10892	20120111	 602.wav	 2470	 3	 1355	 2	
10892	20120111	 220.wav	 1350	 5	 362	 7	
10892	20120111	 105.wav	 633	 5	 379	 8	
10892	20120111	 311.wav	 563	 4	 2777	 3	
10892	20120111	 106.wav	 272	 5	 264	 5	
10892	20120111	 260.wav	 1028	 5	 317	 6	
10892	20120111	 817.wav	 364	 5	 401	 5	
10892	20120111	 358.wav	 266	 5	 339	 5	
10892	20120111	 351.wav	 401	 5	 308	 5	
10892	20120111	 701.wav	 748	 5	 488	 5	
10892	20120111	 808.wav	 591	 5	 2922	 7	
10892	20120111	 221.wav	 728	 5	 383	 5	
10892	20120111	 170.wav	 1457	 5	 425	 5	
10892	20120111	 244.wav	 432	 5	 634	 7	
10896	20111122	 363.wav	 5398	 3	 5491	 3	
10896	20111122	 366.wav	 2180	 5	 2243	 5	
10896	20111122	 601.wav	 4640	 3	 2038	 3	
10896	20111122	 720.wav	 2974	 6	 2754	 5	
10896	20111122	 322.wav	 2755	 4	 2067	 4	
10896	20111122	 424.wav	 4528	 3	 755	 6	
10896	20111122	 116.wav	 2083	 2	 922	 7	
10896	20111122	 171.wav	 4685	 2	 6188	 5	
10896	20111122	 719.wav	 4082	 2	 1068	 8	
10896	20111122	 717.wav	 793	 4	 749	 4	
10896	20111122	 360.wav	 493	 3	 1708	 7	
10896	20111122	 709.wav	 2624	 5	 993	 5	
10896	20111122	 296.wav	 2960	 4	 1168	 6	
10896	20111122	 105.wav	 1253	 6	 2135	 6	
10896	20111122	 732.wav	 588	 2	 3524	 5	
10896	20111122	 816.wav	 2621	 7	 1498	 3	
10896	20111122	 110.wav	 1989	 3	 745	 3	
10896	20111122	 377.wav	 918	 3	 9521	 1	
10896	20111122	 808.wav	 1778	 7	 4195	 5	
10896	20111122	 sarahordaz.wav	 1291	 8	 2089	 2	
10896	20111122	 626.wav	 12460	 3	 1579	 5	
10896	20111122	 724.wav	 3204	 7	 868	 5	
10896	20111122	 708.wav	 6511	 9	 7150	 5	
10896	20111122	 311.wav	 3216	 3	 3557	 3	
10896	20111122	 355.wav	 15110	 5	 358	 5	
10896	20111122	 802.wav	 1837	 7	 3506	 3	
10896	20111122	 244.wav	 1756	 3	 1700	 6	
10896	20111122	 221.wav	 5852	 4	 2478	 4	
10896	20111122	 716.wav	 875	 4	 533	 3	
10896	20111122	 374.wav	 1953	 4	 537	 6	
10896	20111122	 367.wav	 5708	 4	 1620	 3	
10896	20111122	 284.wav	 2427	 2	 2772	 9	
10896	20111122	 226.wav	 2990	 4	 8962	 4	
10896	20111122	 422.wav	 621	 2	 610	 7	
10896	20111122	 106.wav	 3257	 4	 483	 7	
10896	20111122	 113.wav	 2560	 8	 2169	 1	
10896	20111122	 420.wav	 4125	 2	 5097	 6	
10896	20111122	 624.wav	 1017	 3	 1766	 6	
10896	20111122	 262.wav	 1886	 7	 8685	 5	
10896	20111122	 370.wav	 559	 5	 1310	 5	
10896	20111122	 358.wav	 3144	 4	 444	 5	
10896	20111122	 373.wav	 5133	 5	 661	 4	
10896	20111122	 700.wav	 537	 5	 632	 5	
10896	20111122	 415.wav	 608	 3	 449	 5	
10896	20111122	 711.wav	 327	 2	 1209	 6	
10896	20111122	 276.wav	 900	 4	 630	 6	
10896	20111122	 376.wav	 1598	 5	 419	 5	
10896	20111122	 254.wav	 913	 4	 576	 5	
10896	20111122	 111.wav	 1311	 4	 414	 4	
10896	20111122	 255.wav	 1538	 3	 417	 8	
10896	20111122	 132.wav	 716	 3	 699	 3	
10896	20111122	 378.wav	 503	 5	 394	 5	
10896	20111122	 220.wav	 4778	 4	 6595	 3	
10896	20111122	 365.wav	 453	 3	 1262	 3	
10896	20111122	 627.wav	 3417	 5	 3623	 5	
10896	20111122	 712.wav	 7705	 4	 473	 4	
10896	20111122	 260.wav	 801	 4	 17025	 6	
10896	20111122	 170.wav	 425	 6	 386	 5	
10896	20111122	 728.wav	 472	 5	 530	 5	
10896	20111122	 115.wav	 759	 2	 383	 8	
10896	20111122	 701.wav	 916	 7	 666	 5	
10896	20111122	 723.wav	 366	 5	 658	 6	
10896	20111122	 241.wav	 493	 5	 1091	 6	
10896	20111122	 820.wav	 564	 5	 483	 7	
10896	20111122	 698.wav	 495	 7	 6241	 7	
10896	20111122	 714.wav	 545	 5	 380	 5	
10896	20111122	 382.wav	 2088	 5	 326	 5	
10896	20111122	 713.wav	 559	 3	 1157	 7	
10896	20111122	 368.wav	 1202	 2	 7307	 3	
10896	20111122	 353.wav	 557	 4	 4909	 5	
10896	20111122	 261.wav	 750	 3	 849	 6	
10896	20111122	 705.wav	 2365	 5	 929	 5	
10896	20111122	 817.wav	 555	 3	 6475	 6	
10896	20111122	 275.wav	 6423	 3	 1585	 7	
10896	20111122	 722.wav	 2599	 5	 420	 5	
10896	20111122	 289.wav	 659	 5	 2321	 5	
10896	20111122	 252.wav	 2164	 5	 3792	 6	
10896	20111122	 224.wav	 662	 3	 444	 3	
10896	20111122	 815.wav	 5904	 3	 483	 5	
10896	20111122	 602.wav	 684	 8	 2689	 7	
10896	20111122	 375.wav	 1438	 6	 2587	 6	
10896	20111122	 351.wav	 2213	 5	 594	 5	
10896	20111122	 502.wav	 2056	 5	 1530	 5	
